Attacking,Normal/Fire,Normal/Water,Normal/Electric,Normal/Grass,Normal/Ice,Normal/Fighting,Normal/Poison,Normal/Ground,Normal/Flying,Normal/Psychic,Normal/Bug,Normal/Rock,Normal/Ghost,Normal/Dragon,Normal/Dark,Normal/Steel,Normal/Fairy,Fire/Water,Fire/Electric,Fire/Grass,Fire/Ice,Fire/Fighting,Fire/Poison,Fire/Ground,Fire/Flying,Fire/Psychic,Fire/Bug,Fire/Rock,Fire/Ghost,Fire/Dragon,Fire/Dark,Fire/Steel,Fire/Fairy,Water/Electric,Water/Grass,Water/Ice,Water/Fighting,Water/Poison,Water/Ground,Water/Flying,Water/Psychic,Water/Bug,Water/Rock,Water/Ghost,Water/Dragon,Water/Dark,Water/Steel,Water/Fairy,Electric/Grass,Electric/Ice,Electric/Fighting,Electric/Poison,Electric/Ground,Electric/Flying,Electric/Psychic,Electric/Bug,Electric/Rock,Electric/Ghost,Electric/Dragon,Electric/Dark,Electric/Steel,Electric/Fairy,Grass/Ice,Grass/Fighting,Grass/Poison,Grass/Ground,Grass/Flying,Grass/Psychic,Grass/Bug,Grass/Rock,Grass/Ghost,Grass/Dragon,Grass/Dark,Grass/Steel,Grass/Fairy,Ice/Fighting,Ice/Poison,Ice/Ground,Ice/Flying,Ice/Psychic,Ice/Bug,Ice/Rock,Ice/Ghost,Ice/Dragon,Ice/Dark,Ice/Steel,Ice/Fairy,Fighting/Poison,Fighting/Ground,Fighting/Flying,Fighting/Psychic,Fighting/Bug,Fighting/Rock,Fighting/Ghost,Fighting/Dragon,Fighting/Dark,Fighting/Steel,Fighting/Fairy,Poison/Ground,Poison/Flying,Poison/Psychic,Poison/Bug,Poison/Rock,Poison/Ghost,Poison/Dragon,Poison/Dark,Poison/Steel,Poison/Fairy,Ground/Flying,Ground/Psychic,Ground/Bug,Ground/Rock,Ground/Ghost,Ground/Dragon,Ground/Dark,Ground/Steel,Ground/Fairy,Flying/Psychic,Flying/Bug,Flying/Rock,Flying/Ghost,Flying/Dragon,Flying/Dark,Flying/Steel,Flying/Fairy,Psychic/Bug,Psychic/Rock,Psychic/Ghost,Psychic/Dragon,Psychic/Dark,Psychic/Steel,Psychic/Fairy,Bug/Rock,Bug/Ghost,Bug/Dragon,Bug/Dark,Bug/Steel,Bug/Fairy,Rock/Ghost,Rock/Dragon,Rock/Dark,Rock/Steel,Rock/Fairy,Ghost/Dragon,Ghost/Dark,Ghost/Steel,Ghost/Fairy,Dragon/Dark,Dragon/Steel,Dragon/Fairy,Dark/Steel,Dark/Fairy,Steel/Fairy
Normal/Fire,0.75,0.75,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.5,0.5,0.5,0.75,1.0,1.25,1.0,0.625,0.75,1.0,1.0,0.75,0.75,0.75,0.75,0.75,1.0,0.375,0.25,0.625,0.75,0.75,0.75,0.75,1.0,1.0,0.75,0.75,0.75,0.75,0.75,1.0,0.375,0.25,0.625,0.75,0.75,0.75,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.5,0.5,0.5,0.75,1.0,1.25,1.0,2.5,1.5,1.5,1.5,1.5,1.5,2.5,0.75,1.0,1.0,1.5,2.25,1.5,1.5,1.5,1.5,1.5,1.5,2.5,0.75,1.0,1.0,1.5,2.25,1.5,1.0,1.0,1.0,1.0,1.5,0.5,0.5,0.75,1.0,1.25,1.0,1.0,1.0,1.0,1.5,0.5,0.5,0.75,1.0,1.25,1.0,1.0,1.0,1.5,0.5,0.5,0.75,1.0,1.25,1.0,1.0,1.5,0.5,0.5,0.75,1.0,1.25,1.0,1.5,0.5,0.5,0.75,1.0,1.25,1.0,0.75,1.0,1.0,1.5,2.25,1.5,0.25,0.375,0.5,0.625,0.5,0.25,0.5,1.0,0.5,0.75,0.75,0.75,1.25,1.0,1.25
Normal/Water,1.5,0.75,1.0,0.75,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.25,0.5,0.75,1.0,0.75,1.0,1.0,1.5,1.0,1.5,1.5,1.5,2.5,1.5,1.5,1.5,2.25,1.0,1.0,1.5,1.25,1.5,0.75,0.625,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.25,0.625,0.75,0.5,0.75,0.75,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.25,0.5,0.75,1.0,0.75,1.0,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,0.25,0.625,0.75,0.5,0.75,1.0,1.0,1.5,1.0,1.0,1.0,1.25,0.5,0.75,1.0,0.75,1.0,1.0,1.5,1.0,1.0,1.0,1.25,0.5,0.75,1.0,0.75,1.0,1.5,1.0,1.0,1.0,1.25,0.5,0.75,1.0,0.75,1.0,1.5,1.5,1.5,2.25,1.0,1.0,1.5,1.25,1.5,1.0,1.0,1.25,0.5,0.75,1.0,0.75,1.0,1.0,1.25,0.5,0.75,1.0,0.75,1.0,1.25,0.5,0.75,1.0,0.75,1.0,1.0,0.75,1.25,1.125,1.25,0.25,0.5,0.5,0.5,0.75,0.5,0.75,0.75,1.0,0.75
Normal/Electric,1.0,1.5,0.75,0.75,1.0,1.0,1.0,0.5,1.5,1.0,1.0,0.75,0.5,0.75,1.0,0.75,1.0,1.5,0.75,0.75,1.0,1.0,1.0,0.5,1.5,1.0,1.0,0.75,0.5,0.75,1.0,0.75,1.0,1.0,1.0,1.5,1.5,1.5,0.5,2.5,1.5,1.5,1.25,1.0,1.0,1.5,1.25,1.5,0.625,0.75,0.75,0.75,0.5,1.0,0.75,0.75,0.5,0.25,0.625,0.75,0.5,0.75,0.75,0.75,0.75,0.5,1.0,0.75,0.75,0.5,0.25,0.625,0.75,0.5,0.75,1.0,1.0,0.5,1.5,1.0,1.0,0.75,0.5,0.75,1.0,0.75,1.0,1.0,0.5,1.5,1.0,1.0,0.75,0.5,0.75,1.0,0.75,1.0,0.5,1.5,1.0,1.0,0.75,0.5,0.75,1.0,0.75,1.0,0.5,0.5,0.5,0.25,0.0,0.5,0.5,0.25,0.5,1.5,1.5,1.25,1.0,1.0,1.5,1.25,1.5,1.0,0.75,0.5,0.75,1.0,0.75,1.0,0.75,0.5,0.75,1.0,0.75,1.0,0.5,0.5,0.75,0.625,0.75,0.25,0.5,0.5,0.5,0.75,0.5,0.75,0.75,1.0,0.75
Normal/Grass,0.75,1.5,1.0,0.75,1.0,1.0,0.75,1.5,0.75,1.0,0.75,1.25,0.5,0.75,1.0,0.5,1.0,1.0,0.75,0.625,0.75,0.75,0.625,1.0,0.625,0.75,0.625,0.75,0.25,0.625,0.75,0.375,0.75,1.5,1.0,1.5,1.5,1.0,2.5,1.0,1.5,1.0,2.25,1.0,1.0,1.5,0.75,1.5,0.75,1.0,1.0,0.75,1.5,0.75,1.0,0.75,1.25,0.5,0.75,1.0,0.5,1.0,0.75,0.75,0.625,1.0,0.625,0.75,0.625,0.75,0.25,0.625,0.75,0.375,0.75,1.0,0.75,1.5,0.75,1.0,0.75,1.25,0.5,0.75,1.0,0.5,1.0,0.75,1.5,0.75,1.0,0.75,1.25,0.5,0.75,1.0,0.5,1.0,1.0,0.625,0.75,0.625,0.75,0.25,0.625,0.75,0.375,0.75,1.0,1.5,1.0,2.25,1.0,1.0,1.5,0.75,1.5,0.75,0.625,0.75,0.25,0.625,0.75,0.375,0.75,0.75,1.25,0.5,0.75,1.0,0.5,1.0,0.75,0.25,0.625,0.75,0.375,0.75,1.0,0.75,1.25,0.625,1.25,0.25,0.5,0.25,0.5,0.75,0.375,0.75,0.5,1.0,0.5
Normal/Ice,0.75,0.75,1.0,1.5,0.75,1.0,1.0,1.5,1.5,1.0,1.0,0.75,0.5,1.5,1.0,0.5,1.0,0.625,0.75,1.0,0.625,0.75,0.75,1.0,1.0,0.75,0.75,0.5,0.25,1.0,0.75,0.375,0.75,0.75,1.0,0.625,0.75,0.75,1.0,1.0,0.75,0.75,0.5,0.25,1.0,0.75,0.375,0.75,1.5,0.75,1.0,1.0,1.5,1.5,1.0,1.0,0.75,0.5,1.5,1.0,0.5,1.0,1.0,1.5,1.5,2.5,2.5,1.5,1.5,1.25,1.0,2.5,1.5,0.75,1.5,0.75,0.75,1.0,1.0,0.75,0.75,0.5,0.25,1.0,0.75,0.375,0.75,1.0,1.5,1.5,1.0,1.0,0.75,0.5,1.5,1.0,0.5,1.0,1.5,1.5,1.0,1.0,0.75,0.5,1.5,1.0,0.5,1.0,2.5,1.5,1.5,1.25,1.0,2.5,1.5,0.75,1.5,1.5,1.5,1.25,1.0,2.5,1.5,0.75,1.5,1.0,0.75,0.5,1.5,1.0,0.5,1.0,0.75,0.5,1.5,1.0,0.5,1.0,0.5,1.25,0.75,0.375,0.75,1.0,0.5,0.25,0.5,1.5,0.75,1.5,0.5,1.0,0.5
Normal/Fighting,1.5,1.5,1.5,1.5,2.5,1.5,1.0,1.5,1.0,1.0,1.0,2.25,0.0,1.5,2.5,2.25,1.0,1.0,1.0,1.0,1.5,1.0,0.75,1.0,0.75,0.75,0.75,1.25,0.0,1.0,1.5,1.25,0.75,1.0,1.0,1.5,1.0,0.75,1.0,0.75,0.75,0.75,1.25,0.0,1.0,1.5,1.25,0.75,1.0,1.5,1.0,0.75,1.0,0.75,0.75,0.75,1.25,0.0,1.0,1.5,1.25,0.75,1.5,1.0,0.75,1.0,0.75,0.75,0.75,1.25,0.0,1.0,1.5,1.25,0.75,1.5,1.0,1.5,1.0,1.0,1.0,2.25,0.0,1.5,2.5,2.25,1.0,0.75,1.0,0.75,0.75,0.75,1.25,0.0,1.0,1.5,1.25,0.75,0.75,0.625,0.625,0.625,0.75,0.0,0.75,1.0,0.75,0.625,0.75,0.75,0.75,1.25,0.0,1.0,1.5,1.25,0.75,0.625,0.625,0.75,0.0,0.75,1.0,0.75,0.625,0.625,0.75,0.0,0.75,1.0,0.75,0.625,0.75,0.0,0.75,1.0,0.75,0.625,0.0,1.25,2.25,2.125,0.75,0.0,0.0,0.0,0.0,1.5,1.25,0.75,2.25,1.0,0.75
Normal/Poison,1.0,1.0,1.0,1.5,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.25,1.5,1.0,1.0,1.5,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.25,1.5,1.0,1.5,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.25,1.5,1.5,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.25,1.5,1.5,1.5,1.0,1.0,1.5,1.5,1.5,0.75,0.5,1.5,1.5,0.25,2.5,1.0,0.75,0.75,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.25,1.5,0.75,0.75,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.25,1.5,0.625,0.75,0.75,0.75,0.375,0.125,0.75,0.75,0.25,1.0,0.75,0.75,0.75,0.375,0.125,0.75,0.75,0.25,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.25,1.5,1.0,0.5,0.25,1.0,1.0,0.25,1.5,0.5,0.25,1.0,1.0,0.25,1.5,0.125,0.5,0.5,0.125,0.75,0.25,0.25,0.0,0.5,1.0,0.25,1.5,0.25,1.5,0.25
Normal/Ground,1.5,1.0,1.5,0.75,1.0,1.0,1.5,1.0,0.5,1.0,0.75,1.25,0.5,1.0,1.0,1.25,1.0,1.5,2.5,1.0,1.5,1.5,2.5,1.5,0.5,1.5,1.0,2.25,1.0,1.5,1.5,2.25,1.5,1.5,0.75,1.0,1.0,1.5,1.0,0.5,1.0,0.75,1.25,0.5,1.0,1.0,1.25,1.0,1.0,1.5,1.5,2.5,1.5,0.5,1.5,1.0,2.25,1.0,1.5,1.5,2.25,1.5,0.75,0.75,1.0,0.75,0.5,0.75,0.625,0.75,0.25,0.75,0.75,0.75,0.75,1.0,1.5,1.0,0.5,1.0,0.75,1.25,0.5,1.0,1.0,1.25,1.0,1.5,1.0,0.5,1.0,0.75,1.25,0.5,1.0,1.0,1.25,1.0,1.5,0.5,1.5,1.0,2.25,1.0,1.5,1.5,2.25,1.5,0.5,1.0,0.75,1.25,0.5,1.0,1.0,1.25,1.0,0.5,0.5,0.25,0.0,0.5,0.5,0.25,0.5,0.75,1.25,0.5,1.0,1.0,1.25,1.0,0.75,0.25,0.75,0.75,0.75,0.75,1.0,1.25,1.25,2.125,1.25,0.5,0.5,1.0,0.5,1.0,1.25,1.0,1.25,1.0,1.25
Normal/Flying,1.0,1.0,0.75,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.75,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.5,0.5,0.5,1.0,1.0,0.5,1.0,0.75,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.75,1.0,0.75,0.75,0.75,0.75,1.0,0.375,0.25,0.75,0.75,0.375,0.75,1.5,2.5,1.5,1.5,1.5,1.5,2.5,0.75,1.0,1.5,1.5,0.75,1.5,1.5,1.0,1.0,1.0,1.0,1.5,0.5,0.5,1.0,1.0,0.5,1.0,1.5,1.5,1.5,1.5,2.5,0.75,1.0,1.5,1.5,0.75,1.5,1.0,1.0,1.0,1.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.5,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.5,0.5,0.5,1.0,1.0,0.5,1.0,1.5,0.5,0.5,1.0,1.0,0.5,1.0,0.75,1.0,1.5,1.5,0.75,1.5,0.25,0.5,0.5,0.25,0.5,0.5,0.5,0.25,0.5,1.0,0.5,1.0,0.5,1.0,0.5
Normal/Psychic,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,0.75,1.0,0.75,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,0.75,1.0,0.75,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,0.75,1.0,0.75,0.5,1.0,0.5,0.5,1.0,1.0,1.0,1.5,1.5,1.0,1.0,0.75,1.0,0.75,0.5,1.0,0.5,0.5,1.0,1.0,1.5,1.5,1.0,1.0,0.75,1.0,0.75,0.5,1.0,0.5,0.5,1.0,1.5,1.5,1.0,1.0,0.75,1.0,0.75,0.5,1.0,0.5,0.5,1.0,2.5,1.5,1.5,1.0,1.5,1.25,1.0,1.5,0.5,0.75,1.5,1.5,1.5,1.0,1.5,1.25,1.0,1.5,0.5,0.75,1.5,1.0,0.75,1.0,0.75,0.5,1.0,0.5,0.5,1.0,0.75,1.0,0.75,0.5,1.0,0.5,0.5,1.0,0.75,0.5,0.25,0.75,0.5,0.375,0.75,0.75,0.5,1.0,0.5,0.5,1.0,0.5,0.75,0.25,0.375,0.75,0.5,0.0,0.25,0.5,0.5,0.5,1.0,0.25,0.5,0.5
